IITMandi_YouTube/eng/eng_151.wav | True: English | Pred: Sindhi | Similarity: 0.5206 | MISMATCH
IITMandi_YouTube/eng/eng_3.wav | True: English | Pred: English | Similarity: 0.6045 | MATCH
IITMandi_YouTube/eng/eng_145.wav | True: English | Pred: Sindhi | Similarity: 0.5328 | MISMATCH
IITMandi_YouTube/eng/eng_179.wav | True: English | Pred: English | Similarity: 0.5950 | MATCH
IITMandi_YouTube/eng/eng_192.wav | True: English | Pred: English | Similarity: 0.6537 | MATCH
IITMandi_YouTube/eng/eng_186.wav | True: English | Pred: English | Similarity: 0.5581 | MATCH
IITMandi_YouTube/eng/eng_227.wav | True: English | Pred: English | Similarity: 0.6336 | MATCH
IITMandi_YouTube/eng/eng_88.wav | True: English | Pred: English | Similarity: 0.6597 | MATCH
IITMandi_YouTube/eng/eng_233.wav | True: English | Pred: English | Similarity: 0.6792 | MATCH
IITMandi_YouTube/eng/eng_77.wav | True: English | Pred: English | Similarity: 0.5946 | MATCH
IITMandi_YouTube/eng/eng_63.wav | True: English | Pred: English | Similarity: 0.6258 | MATCH
IITMandi_YouTube/eng/eng_62.wav | True: English | Pred: English | Similarity: 0.6040 | MATCH
IITMandi_YouTube/eng/eng_76.wav | True: English | Pred: English | Similarity: 0.6381 | MATCH
IITMandi_YouTube/eng/eng_232.wav | True: English | Pred: English | Similarity: 0.6735 | MATCH
IITMandi_YouTube/eng/eng_89.wav | True: English | Pred: English | Similarity: 0.6322 | MATCH
IITMandi_YouTube/eng/eng_226.wav | True: English | Pred: English | Similarity: 0.6385 | MATCH
IITMandi_YouTube/eng/eng_187.wav | True: English | Pred: English | Similarity: 0.6577 | MATCH
IITMandi_YouTube/eng/eng_193.wav | True: English | Pred: English | Similarity: 0.6382 | MATCH
IITMandi_YouTube/eng/eng_178.wav | True: English | Pred: English | Similarity: 0.6462 | MATCH
IITMandi_YouTube/eng/eng_2.wav | True: English | Pred: English | Similarity: 0.5773 | MATCH
IITMandi_YouTube/eng/eng_144.wav | True: English | Pred: Sindhi | Similarity: 0.5222 | MISMATCH
IITMandi_YouTube/eng/eng_150.wav | True: English | Pred: Sindhi | Similarity: 0.5300 | MISMATCH
IITMandi_YouTube/eng/eng_146.wav | True: English | Pred: Sindhi | Similarity: 0.5189 | MISMATCH
IITMandi_YouTube/eng/eng_152.wav | True: English | Pred: Sindhi | Similarity: 0.5103 | MISMATCH
IITMandi_YouTube/eng/eng_185.wav | True: English | Pred: English | Similarity: 0.6332 | MATCH
IITMandi_YouTube/eng/eng_191.wav | True: English | Pred: English | Similarity: 0.6536 | MATCH
IITMandi_YouTube/eng/eng_230.wav | True: English | Pred: Sindhi | Similarity: 0.5587 | MISMATCH
IITMandi_YouTube/eng/eng_224.wav | True: English | Pred: English | Similarity: 0.6015 | MATCH
IITMandi_YouTube/eng/eng_218.wav | True: English | Pred: English | Similarity: 0.6724 | MATCH
IITMandi_YouTube/eng/eng_48.wav | True: English | Pred: Gujarati | Similarity: 0.4582 | MISMATCH
IITMandi_YouTube/eng/eng_60.wav | True: English | Pred: English | Similarity: 0.6370 | MATCH
IITMandi_YouTube/eng/eng_74.wav | True: English | Pred: English | Similarity: 0.6436 | MATCH
IITMandi_YouTube/eng/eng_75.wav | True: English | Pred: English | Similarity: 0.5438 | MATCH
IITMandi_YouTube/eng/eng_61.wav | True: English | Pred: English | Similarity: 0.6227 | MATCH
IITMandi_YouTube/eng/eng_49.wav | True: English | Pred: Gujarati | Similarity: 0.4682 | MISMATCH
IITMandi_YouTube/eng/eng_219.wav | True: English | Pred: English | Similarity: 0.7166 | MATCH
IITMandi_YouTube/eng/eng_225.wav | True: English | Pred: English | Similarity: 0.6579 | MATCH
IITMandi_YouTube/eng/eng_231.wav | True: English | Pred: Bengali | Similarity: 0.4191 | MISMATCH
IITMandi_YouTube/eng/eng_190.wav | True: English | Pred: English | Similarity: 0.6277 | MATCH
IITMandi_YouTube/eng/eng_184.wav | True: English | Pred: English | Similarity: 0.6714 | MATCH
IITMandi_YouTube/eng/eng_153.wav | True: English | Pred: Sindhi | Similarity: 0.5149 | MISMATCH
IITMandi_YouTube/eng/eng_147.wav | True: English | Pred: Sindhi | Similarity: 0.5076 | MISMATCH
IITMandi_YouTube/eng/eng_1.wav | True: English | Pred: English | Similarity: 0.5832 | MATCH
IITMandi_YouTube/eng/eng_5.wav | True: English | Pred: English | Similarity: 0.5799 | MATCH
IITMandi_YouTube/eng/eng_143.wav | True: English | Pred: Sindhi | Similarity: 0.5270 | MISMATCH
IITMandi_YouTube/eng/eng_157.wav | True: English | Pred: Sindhi | Similarity: 0.5097 | MISMATCH
IITMandi_YouTube/eng/eng_180.wav | True: English | Pred: English | Similarity: 0.5905 | MATCH
IITMandi_YouTube/eng/eng_194.wav | True: English | Pred: English | Similarity: 0.6685 | MATCH
IITMandi_YouTube/eng/eng_209.wav | True: English | Pred: English | Similarity: 0.6675 | MATCH
IITMandi_YouTube/eng/eng_235.wav | True: English | Pred: English | Similarity: 0.5793 | MATCH
